file,error_type,field_or_value,count
book_n_r1_a_52b,undefined_token,__order_index,2
keyblade_n_u1_a_65a,undefined_token,__order_index,2
bow_N_U_p_65a,undefined_token,__order_index,2
npc_staff_n_m_w04a_65a,undefined_token,__order_index,2
book_n_r1_a_52c,undefined_token,__order_index,2
cannon_d_a_l2_50a,undefined_token,__order_index,2
dagger_idlc1_sp_lv1_e_55a,undefined_token,__order_index,2
bow_d_n_r1_13a,undefined_token,__order_index,2
world_polearm_n_e1_starweapon4_68a,undefined_token,__order_index,2
cannon_a_u2_45a,undefined_token,__order_index,2
world_cash_staff_a_s4_58b,undefined_token,__order_index,2
polearm_n_m3_p_77a,undefined_token,__order_index,2
keyblade_n_l1_s_47a,undefined_token,__order_index,2
harp_d_n_m3_toplevel_78a,undefined_token,__order_index,2
orb_n_r2_p_35a,undefined_token,__order_index,2
cannon_d_v_u2_50a,undefined_token,__order_index,2
polearm_n_m3_envnamed_80a,undefined_token,__order_index,2
book_d_n_c2_r_52a,undefined_token,__order_index,2
npc_orb_region_01,undefined_token,__order_index,2
mace_d_n_r1_p_40a,undefined_token,__order_index,2
gun_n_l1_36b,undefined_token,__order_index,2
book_d_n_c2_r_52b,undefined_token,__order_index,2
staff_n_e1_p_58a,undefined_token,__order_index,2
npc_book_dramata01,undefined_token,__order_index,2
book_d_n_c2_r_52c,undefined_token,__order_index,2
orb_n_l1_51a,undefined_token,__order_index,2
npc_bow_t01_01,undefined_token,__order_index,2
orb_n_l1_51b,undefined_token,__order_index,2
world_cash_keyblade_lovelyhero_changeskin_01a_5hours,undefined_token,__order_index,2
gun_d_a_l2_25a,undefined_token,__order_index,2
keyblade_n_u1_35a,undefined_token,__order_index,2
book_d_n_l1_q_58a,undefined_token,__order_index,2
keyblade_n_u1_35b,undefined_token,__order_index,2
harp_n_r0_31a,undefined_token,__order_index,2
npc_cannon_normaltest_01,undefined_token,__order_index,2
event_mace_d_a_m_pr_70a,undefined_token,__order_index,2
keyblade_idlc1_lv0_e_80a,undefined_token,__order_index,2
polearm_t_n_l1_50a,undefined_token,__order_index,2
polearm_d_n_c_33a,undefined_token,__order_index,2
dagger_d_n_r1_s_17a,undefined_token,__order_index,2
harp_n_c2_p_35a,undefined_token,__order_index,2
cannon_n_r2_50a,undefined_token,__order_index,2
dagger_sp_n_u2_p_55a,undefined_token,__order_index,2
npc_dagger_IDRun01b_01,undefined_token,__order_index,2
gun_n_r0_q_24a,undefined_token,__order_index,2
polearm_d_n_u1_tq_51a,undefined_token,__order_index,2
npc_book_PvP01b_01,undefined_token,__order_index,2
world_cash_orb_semata_changeskin_01a,undefined_token,__order_index,2
orb_d_n_l1_q_44a,undefined_token,__order_index,2
harp_n_m3_f6_float_80a,undefined_token,__order_index,2
polearm_n_m_lv1_typeb_74a,undefined_token,__order_index,2
keyblade_d_e1_p_60a,undefined_token,__order_index,2
gun_n_m2_idf6_adma_69a,undefined_token,__order_index,2
test_sword_n_u1_kn_60a,undefined_token,__order_index,2
world_promo_changeskin_gun_innova_01a,undefined_token,__order_index,2
staff_d_n_r1_24a,undefined_token,__order_index,2
2hsword_d_n_l2_p_55a,undefined_token,__order_index,2
sword_d_n_l1_h_50a,undefined_token,__order_index,2
staff_d_n_r1_24b,undefined_token,__order_index,2
sword_d_n_l1_h_50b,undefined_token,__order_index,2
cannon_n_u1_q_54a,undefined_token,__order_index,2
staff_d_n_r1_24c,undefined_token,__order_index,2
2hsword_legion_d_n_l1_10a,undefined_token,__order_index,2
world_orb_d_a_m2_65a,undefined_token,__order_index,2
event_gun_n_m3_ideternity02_new_75a,undefined_token,__order_index,2
gun_d_n_l1_nc_46a,undefined_token,__order_index,2
book_d_n_r1_s_27a,undefined_token,__order_index,2
book_d_polymorph_01a,undefined_token,__order_index,2
event_orb_n_e1_55f_new,undefined_token,__order_index,2
staff_n_r0_c_26a,undefined_token,__order_index,2
polearm_d_n_r1_p_15a,undefined_token,__order_index,2
npc_dagger_vritrasword04_01,undefined_token,__order_index,2
bow_d_n_c2_q_21a,undefined_token,__order_index,2
world_cash_2hsword_d_a_e2_54a,undefined_token,__order_index,2
npc_dagger_vritrasword04_02,undefined_token,__order_index,2
soulbow01,undefined_token,__order_index,2
sword_n_c2_p_55a,undefined_token,__order_index,2
keyblade_d_n_c2_q_15a,undefined_token,__order_index,2
soulbow02,undefined_token,__order_index,2
orb_d_a_m_wi_70a,undefined_token,__order_index,2
keyblade_n_l1_58a,undefined_token,__order_index,2
soulbow03,undefined_token,__order_index,2
orb_polymorph_01a,undefined_token,__order_index,2
keyblade_n_l1_58b,undefined_token,__order_index,2
harp_n_r1_p_50a,undefined_token,__order_index,2
staff_d_n_m3_toplevel_79a,undefined_token,__order_index,2
book_n_c2_07a,undefined_token,__order_index,2
staff_n_l1_a_58a,undefined_token,__order_index,2
2hsword_n_u1_45a,undefined_token,__order_index,2
book_n_c2_07b,undefined_token,__order_index,2
staff_n_l1_a_58b,undefined_token,__order_index,2
book_n_c2_07c,undefined_token,__order_index,2
npc_gun_GabSub01a_01,undefined_token,__order_index,2
gun_n_r1_a_42a,undefined_token,__order_index,2
staff_n_l1_a_58c,undefined_token,__order_index,2
world_event_2hsword_n_u1_44a,undefined_token,__order_index,2
book_d_a_l2_35a,undefined_token,__order_index,2
dagger_n_u1_p_45a,undefined_token,__order_index,2
cannon_n_l1_46a,undefined_token,__order_index,2
cannon_d_r2_p_50a,undefined_token,__order_index,2
gun_n_r1_a_42b,undefined_token,__order_index,2
test_gun_n_u1_63a,undefined_token,__order_index,2
bow_N_L_p_61a,undefined_token,__order_index,2
npc_sword_n_r_01,undefined_token,__order_index,2
book_a_e2_55a,undefined_token,__order_index,2
orb_d_n_r1_c_31a,undefined_token,__order_index,2
gun_n_r1_a_42c,undefined_token,__order_index,2
bow_d_n_r1_s_47a,undefined_token,__order_index,2
sword_n_m3_ideternity01_1set_75a,undefined_token,__order_index,2
sword_test_r_60a,undefined_token,__order_index,2
npc_sword_n_r_02,undefined_token,__order_index,2
harp_n_r1_nc_36a,undefined_token,__order_index,2
cannon_n_l1_46c,undefined_token,__order_index,2
npc_mace_wquest_01,undefined_token,__order_index,2
npc_sword_n_r_03,undefined_token,__order_index,2
book_a_em_65a_li,undefined_token,__order_index,2
dagger_n_c_48a,undefined_token,__order_index,2
npc_bow_world_01,undefined_token,__order_index,2
bow_d_d_u1_p_40a,undefined_token,__order_index,2
staff_d_n_l1_h_50a,undefined_token,__order_index,2
npc_sword_n_r_04,undefined_token,__order_index,2
mace_n_u1_44a,undefined_token,__order_index,2
test_sword_n_m3_envnamed_special,undefined_token,__order_index,2
staff_d_n_l1_h_50b,undefined_token,__order_index,2
2hsword_n_e_idvritrabase_65a,undefined_token,__order_index,2
sword_n_r2_p_25a,undefined_token,__order_index,2
npc_sword_n_r_05,undefined_token,__order_index,2
orb_n_m3_ideternity01_6set_75a,undefined_token,__order_index,2
mace_n_u1_44b,undefined_token,__order_index,2
npc_sword_n_r_06,undefined_token,__order_index,2
cannon_n_u2_q_55a,undefined_token,__order_index,2
polearm_a_r2_35a,undefined_token,__order_index,2
npc_sword_n_r_07,undefined_token,__order_index,2
harp_n_c2_17a,undefined_token,__order_index,2
2hsword_n_u1_starweapon_50a,undefined_token,__order_index,2
npc_sword_n_r_08,undefined_token,__order_index,2
harp_n_c2_17b,undefined_token,__order_index,2
npc_gun_U001d_01,undefined_token,__order_index,2
gun_n_l0_31a,undefined_token,__order_index,2
2hsword_n_u1_starweapon_50b,undefined_token,__order_index,2
sword_a_m1_65a_mi,undefined_token,__order_index,2
npc_sword_n_r_09,undefined_token,__order_index,2
harp_n_c2_17c,undefined_token,__order_index,2
gun_DR_E_p_65a,undefined_token,__order_index,2
gun_d_n_r0_46a,undefined_token,__order_index,2
gun_d_n_c1_26a,undefined_token,__order_index,2
harp_a_e2_65a,undefined_token,__order_index,2
cannon_n_c2_p_30a,undefined_token,__order_index,2
harp_a_e2_65b,undefined_token,__order_index,2
2hsword_n_u1_n_64a,undefined_token,__order_index,2
harp_a_e2_65c,undefined_token,__order_index,2
harp_n_u2_p_55a,undefined_token,__order_index,2
bow_n_u1_pc_65a_new,undefined_token,__order_index,2
test_staff_d_n_r1_39a,undefined_token,__order_index,2
dagger_n_m_lv1_typed_77a,undefined_token,__order_index,2
harp_n_c2_a_59a,undefined_token,__order_index,2
harp_n_l2_40a,undefined_token,__order_index,2
book_n_r2_p_30a,undefined_token,__order_index,2
harp_n_c2_a_59b,undefined_token,__order_index,2
bow_d_n_l1_s_40a,undefined_token,__order_index,2
orb_n_r1_p_35a,undefined_token,__order_index,2
harp_n_c2_a_59c,undefined_token,__order_index,2
gun_n_r2_41a,undefined_token,__order_index,2
2hsword_n_m_idunderrune_65a,undefined_token,__order_index,2
harp_d_d_l2_p_50a,undefined_token,__order_index,2
bow_n_c2_27a,undefined_token,__order_index,2
book_n_m_lv3_typeb_83b,undefined_token,__order_index,2
bow_n_c2_27b,undefined_token,__order_index,2
2hsword_n_m_idunderrune_65c,undefined_token,__order_index,2
cannon_DR_U_p_65a_down,undefined_token,__order_index,2
bow_n_c2_27c,undefined_token,__order_index,2
orb_n_m3_ideternity02_3set_80a,undefined_token,__order_index,2
polearm_d_n_u1_50b_cu,undefined_token,__order_index,2
polearm_t_d_n_u1_40a,undefined_token,__order_index,2
M_Rage_B001_3_2,undefined_token,is_familiar_skill,3
sword_n_m2_idf5u3_65a,undefined_token,__order_index,2
npc_mace_idtiamat01g_65a,undefined_token,__order_index,2
keyblade_n_m3_f6event_77b,undefined_token,__order_index,2
sword_m_sc_as_70a,undefined_token,__order_index,2
dagger_l_n_m3_toplevel_79a,undefined_token,__order_index,2
world_changeskin_harp_ncw_02a_1days,undefined_token,__order_index,2
book_d_u_sp_nc_55a,undefined_token,__order_index,2
mystery_book_a_m_el_75a,undefined_token,__order_index,2
book_n_r1_q_35a,undefined_token,__order_index,2
dagger_d_n_c_33a,undefined_token,__order_index,2
book_sp_d_l2_p_55a,undefined_token,__order_index,2
mystery_book_a_m_el_75b,undefined_token,__order_index,2
keyblade_n_u1_q_48a,undefined_token,__order_index,2
npc_keyblade_v002_01,undefined_token,__order_index,2
bow_n_r2_s_44a,undefined_token,__order_index,2
dagger_sp_n_u1_p_55a,undefined_token,__order_index,2
2hsword_d_u_sp_nc_55a,undefined_token,__order_index,2
bow_d_n_l2_s_40a,undefined_token,__order_index,2
2hsword_sp_d_l2_p_55a,undefined_token,__order_index,2
world_staff_n_e1_65b,undefined_token,__order_index,2
staff_n_l1_p_35a,undefined_token,__order_index,2
book_n_r1_p_15a_event,undefined_token,__order_index,2
orb_d_n_c1_c_16a,undefined_token,__order_index,2
world_polearm_d_n_u1_q_54a,undefined_token,__order_index,2
2hsword_d_n_l1_p_55a,undefined_token,__order_index,2
orb_n_r2_h_44a,undefined_token,__order_index,2
sword_idlc1_sp_lv2_e_55a,undefined_token,__order_index,2
polearm_n_r1_nc_36a,undefined_token,__order_index,2
cannon_n_u0_q_54a,undefined_token,__order_index,2
npc_gun_housing02a_u_01,undefined_token,__order_index,2
bow_d_n_r1_14a,undefined_token,__order_index,2
staff_a_m_ch_75a,undefined_token,__order_index,2
harp_legion_n_c1_10a,undefined_token,__order_index,2
mace_d_n_u1_p_45a,undefined_token,__order_index,2
bow_d_n_r1_14b,undefined_token,__order_index,2
harp_d_n_m3_toplevel_79a,undefined_token,__order_index,2
bow_d_n_r1_14c,undefined_token,__order_index,2
orb_d_a_m2_65a_hi,undefined_token,__order_index,2
2hsword_n_r2_27a,undefined_token,__order_index,2
ld_rw_npc_gd5001,undefined_token,erect,3
orb_d_a_r2_40a,undefined_token,__order_index,2
cannon_n_l0_41a,undefined_token,__order_index,2
world_event_bow_changeskin_01b_1,undefined_token,__order_index,2
cash_orb_changeskin_01,undefined_token,__order_index,2
cannon_d_n_r0_26a,undefined_token,__order_index,2
npc_book_n_m_w04a_65a,undefined_token,__order_index,2
cash_orb_changeskin_02,undefined_token,__order_index,2
orb_n_l1_52a,undefined_token,__order_index,2
npc_bow_n_m_starweapon4_65a,undefined_token,__order_index,2
harp_d_n_c1_58a,undefined_token,__order_index,2
gun_n_c2_p_50a,undefined_token,__order_index,2
orb_n_u2_s_52a,undefined_token,__order_index,2
dagger_n_r2_35a,undefined_token,__order_index,2
staff_n_l2_p_35a,undefined_token,__order_index,2
polearm_d_n_c1_c_31a,undefined_token,__order_index,2
mace_d_n_l1_r_45a,undefined_token,__order_index,2
Kick_A003_1_1,undefined_token,is_familiar_skill,3
book_d_n_l1_q_59a,undefined_token,__order_index,2
mace_d_n_l1_r_45b,undefined_token,__order_index,2
gun_n_u1_60a,undefined_token,__order_index,2
book_n_c2_p_15a,undefined_token,__order_index,2
dagger_n_m_lv1_typec_71a,undefined_token,__order_index,2
mace_d_n_l1_r_45c,undefined_token,__order_index,2
cannon_n_c2_a_54a,undefined_token,__order_index,2
gun_n_u1_60b,undefined_token,__order_index,2
cannon_n_r2_51a,undefined_token,__order_index,2
cannon_n_c2_a_54b,undefined_token,__order_index,2
gun_n_u1_60c,undefined_token,__order_index,2
bow_sp_d_r2_p_55a,undefined_token,__order_index,2
mystery_bow_d_a_m_ra_75a,undefined_token,__order_index,2
sword_n_l2_a_41a,undefined_token,__order_index,2
cannon_n_c2_a_54c,undefined_token,__order_index,2
gun_n_u1_60d,undefined_token,__order_index,2
mystery_bow_d_a_m_ra_75b,undefined_token,__order_index,2
world_cash_changeskin_2hsword_n_e1_n_65c,undefined_token,__order_index,2
orb_d_n_r0_c_31a,undefined_token,__order_index,2
gun_n_u1_60e,undefined_token,__order_index,2
bow_n_m_lv3_typea_77a,undefined_token,__order_index,2
orb_d_n_l1_q_45a,undefined_token,__order_index,2
gun_n_u1_60f,undefined_token,__order_index,2
cannon_d_u1_p_55a,undefined_token,__order_index,2
npc_bow_idshulak_02a,undefined_token,__order_index,2
staff_n_e_tdefence_65a,undefined_token,__order_index,2
staff_t_n_u1_50a,undefined_token,__order_index,2
world_promo_changeskin_gun_innova_02a,undefined_token,__order_index,2
test_bow_n_e1_56a,undefined_token,__order_index,2
sword_n_r1_p_25a,undefined_token,__order_index,2
cannon_n_u1_q_55a,undefined_token,__order_index,2
bow_n_r1_c_16a,undefined_token,__order_index,2
event_cannon_devasday_changeskin_01a,undefined_token,__order_index,2
cannon_n_u1_q_55b,undefined_token,__order_index,2
npc_orb_downfield_01,undefined_token,__order_index,2
cannon_n_u1_q_55c,undefined_token,__order_index,2
gun_n_c2_a_29a,undefined_token,__order_index,2
gun_n_c2_a_29b,undefined_token,__order_index,2
dagger_d_l2_p_40a,undefined_token,__order_index,2
gun_n_c2_a_29c,undefined_token,__order_index,2
polearm_d_d_l1_p_60a,undefined_token,__order_index,2
world_cash_changeskin_cannon_d_n_e2_55a,undefined_token,__order_index,2
harp_n_u1_p_55a,undefined_token,__order_index,2
book_n_u_ldf4_ad_65a,undefined_token,__order_index,2
event_orb_pirate_changeskin_01a,undefined_token,__order_index,2
npc_dagger_brothers_01,undefined_token,__order_index,2
staff_n_m2_idf6_lf1_76a,undefined_token,__order_index,2
2hsword_n_u1_starweapon3_50a,undefined_token,__order_index,2
sword_v_m2_q_65a,undefined_token,__order_index,2
book_t_d_n_u1_40a_7day,undefined_token,__order_index,2
book_n_r1_p_30a,undefined_token,__order_index,2
mace_n_m_lv2_typeb_77b,undefined_token,__order_index,2
keyblade_n_l1_59a,undefined_token,__order_index,2
book_d_n_r1_c_46a,undefined_token,__order_index,2
cannon_d_u2_p_55a,undefined_token,__order_index,2
world_cash_orb_pirate_changeskin_01a_5hours,undefined_token,__order_index,2
test_mace_n_e1_ch_60a,undefined_token,__order_index,2
harp_d_d_l1_p_50a,undefined_token,__order_index,2
